year, latitude, longitude, cause of death, fatalities
2004, , , In situ neoplasms, benign neplasms and neoplasms of uncertain or unknown behavior, 642 
2004, , , Aortic aneurysm and dissection, 602 
2004, , , Athersclerosis, 551 
2004, , , All causes, 202 
2004, , , Accidents, 50 
2004, , , Motor vehicle accidents, 18 
2004, , , All other accidents, 32 
2004, , , Congenital malformations, deformations and chromosomal abnormalities, 32 
2004, , , Assault (homicide), 23 
2004, , , Malignant neoplasms, 11 
2004, , , All causes, 267 
2004, , , Accidents, 75 
2004, , , Motor vehicle accidents, 41 
2004, , , All other accidents, 34 
2004, , , Malignant neoplasms, 59 
2004, , , Diseases of heart, 14 
2004, , , Congenital malformations, deformations and chromosomal abnormalities, 9 
2004, , , Assault (homicide), 8 
2004, , , Intentional self-harm (suicide), 7 
2004, , , All causes, 1327 
2004, , , Accidents, 506 
2004, , , Motor vehicle accidents, 344 
2004, , , All other accidents, 162 
2004, , , Assault (homicide), 311 
2004, , , Intentional self-harm (suicide), 152 
2004, , , Diseases of heart, 67 
2004, , , Malignant neoplasms, 65 
2004, , , Congenital malformations, deformations and chromosomal abnormalities, 24 
2004, , , All causes, 5081 
2004, , , Accidents, 1162 
2004, , , Motor vehicle accidents, 483 
2004, , , All other accidents, 679 
2004, , , Malignant neoplasms, 801 
2004, , , Diseases of heart, 773 
2004, , , Intentional self-harm (suicide), 367 
2004, , , Assault (homicide), 361 
2004, , , Human immunodeficiency virus disease, 211 
2004, , , Chronic liver disease and cirrhosis, 128 
2004, , , Cerebrovascular diseases, 109 
2004, , , Diabetes melliltus, 95 
2004, , , Chronic lower respiratory diseases, 74 
2004, , , Influenza and pneumonia, 66 
2004, , , Septicemia, 64 
2004, , , Nephritis, nephrotic syndrome and nephrosis, 57 
2004, , , All causes, 18215 
2004, , , Malignant neoplasms, 6362 
2004, , , Diseases of heart, 4454 
2004, , , Accidents, 988 
2004, , , Motor vehicle accidents, 346 
2004, , , All other accidents, 642 
2004, , , Cerebrovascular diseases, 672 
2004, , , Diabetes melliltus, 651 
2004, , , Chronic lower respiratory diseases, 535 
2004, , , Chronic liver disease and cirrhosis, 526 
2004, , , Intentional self-harm (suicide), 355 
2004, , , Septicemia, 342 
2004, , , Nephritis, nephrotic syndrome and nephrosis, 295 
2004, , , Influenza and pneumonia, 231 
2004, , , Human immunodeficiency virus disease, 180 
2004, , , All causes, 75932 
2004, , , Diseases of heart, 22858 
2004, , , Malignant neoplasms, 16928 
2004, , , Cerebrovascular diseases, 5678 
2004, , , Chronic lower respiratory diseases, 4088 
2004, , , Alzheimer's disease, 2565 
2004, , , Influenza and pneumonia, 2444 
2004, , , Diabetes melliltus, 2314 
2004, , , Nephritis, nephrotic syndrome and nephrosis, 1966 
2004, , , Septicemia, 1567 
2004, , , Accidents, 1244 
2004, , , Motor vehicle accidents, 241 
2004, , , All other accidents, 1003 
2004, , , Parkinson's disease, 820 
2004, , , Essential (primary) hypertension and hypertensive renal disease, 807 
2004, , , Pneumonitis due to solids and liquids, 742 
2005, , , All causes, 103654 
2005, , , Diseases of heart, 28145 
2005, , , Malignant neoplasms, 24199 
2005, , , Cerebrovascular diseases, 6232 
2005, , , Chronic lower resipratory diseases, 5056 
2005, , , Accidents, 4157 
2005, , , Motor vehicle accidents, 1459 
2005, , , All other accidents, 2698 
2005, , , Diabetes mellitus, 3028 
2005, , , Influenza and pneumonia, 2948 
2005, , , Alzheimer's disease, 2822 
2005, , , Nephritis, nephrotic syndrome and nephrosis, 2388 
2005, , , Septicemia, 1939 
2005, , , Intentional self-harm (suicide), 1073 
2005, , , Chronic liver disease and cirrhosis, 1003 
2005, , , Essential (primary) hypertension and hypertensive renal disease, 991 
2005, , , Pneumonitis due to solids and liquids, 906 
2005, , , Parkinsons's disease, 896 
2005, , , Assualt (homicide), 860 
2005, , , Certain conditions originating in the perinatal period, 685 
2005, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 604 
2005, , , Aortic aneurysm and dissection, 594 
2005, , , Atheosclerosis, 475 
2005, , , All causes, 184 
2005, , , Accidents, 38 
2005, , , Motor vehicle accidents, 7 
2005, , , All other accidents, 31 
2005, , , Congenital malformations, deformations, and chromosomal abnormalities, 23 
2005, , , Malignant neoplasms, 21 
2005, , , Assualt (homicide), 15 
2005, , , All causes, 231 
2005, , , Motor vehicle accidents, 43 
2005, , , All other accidents, 23 
2005, , , Malignant neoplasms, 33 
2005, , , Assualt (homicide), 18 
2005, , , Congenital malformations, deformations, and chromosomal abnormalities, 13 
2005, , , Diseases of heart, 12 
2005, , , All causes, 1409 
2005, , , Accidents, 569 
2005, , , Motor vehicle accidents, 379 
2005, , , All other accidents, 190 
2005, , , Assualt (homicide), 315 
2005, , , Intentional self-harm (suicide), 134 
2005, , , Malignant neoplasms, 66 
2005, , , Diseases of heart, 65 
2005, , , All causes, 4991 
2005, , , Accidents, 1112 
2005, , , Motor vehicle accidents, 442 
2005, , , All other accidents, 670 
2005, , , Diseases of heart, 791 
2005, , , Malignant neoplasms, 785 
2005, , , Intentional self-harm (suicide), 400 
2005, , , Assualt (homicide), 343 
2005, , , Human immunodificiency virus (HIV) disease, 194 
2005, , , Chronic liver disease and cirrhosis, 139 
2005, , , Cerebrovascular diseases, 98 
2005, , , Diabetes mellitus, 89 
2005, , , Influenza and pneumonia, 57 
2005, , , Chronic lower resipratory diseases, 55 
2005, , , Septicemia, 54 
2005, , , Nephritis, nephrotic syndrome and nephrosis, 51 
2005, , , All causes, 18531 
2005, , , Malignant neoplasms, 6337 
2005, , , Diseases of heart, 4597 
2005, , , Accidents, 975 
2005, , , Motor vehicle accidents, 307 
2005, , , All other accidents, 668 
2005, , , Diabetes mellitus, 669 
2005, , , Chronic lower resipratory diseases, 618 
2005, , , Cerebrovascular diseases, 609 
2005, , , Chronic liver disease and cirrhosis, 507 
2005, , , Intentional self-harm (suicide), 366 
2005, , , Septicemia, 316 
2005, , , Nephritis, nephrotic syndrome and nephrosis, 315 
2005, , , Influenza and pneumonia, 256 
2005, , , Human immunodificiency virus (HIV) disease, 186 
2005, , , All causes, 77014 
2005, , , Diseases of heart, 22659 
2005, , , Malignant neoplasms, 16951 
2005, , , Cerebrovascular diseases, 5495 
2005, , , Chronic lower resipratory diseases, 4363 
2005, , , Alzheimer's disease, 2788 
2005, , , Influenza and pneumonia, 2591 
2005, , , Diabetes mellitus, 2263 
2005, , , Nephritis, nephrotic syndrome and nephrosis, 2009 
2005, , , Septicemia, 1539 
2005, , , Accidents, 1342 
2005, , , Motor vehicle accidents, 276 
2005, , , All other accidents, 1066 
2005, , , Parkinsons's disease, 871 
2005, , , Essential (primary) hypertension and hypertensive renal disease, 851 
2005, , , Pneumonitis due to solids and liquids, 827 
2006, , , All causes, 102122 
2006, , , Diseases of heart, 27002 
2006, , , Malignant neoplasms, 24052 
2006, , , Cerebrovascular diseases, 5974 
2006, , , Chronic lower respiratory diseases, 4725 
2006, , , Accidents, 4401 
2006, , , Motor vehicle accidents, 1389 
2006, , , All other accidents, 3012 
2006, , , Diabetes mellitus, 2794 
2006, , , Alzheimer's disease, 2792 
2006, , , Influenza and pneumonia, 2671 
2006, , , Nephritis, nephrotic syndrome and nephrosis, 2501 
2006, , , Septicemia, 2001 
2006, , , Chronic liver disease and cirrhosis, 1070 
2006, , , Intentional self-harm (suicide), 1007 
2006, , , Pneumonitis due to solids and liquids, 896 
2006, , , Essential hypertension and hypertensive renal disease, 896 
2006, , , Assault (homicide), 859 
2006, , , Parkinsons's disease, 852 
2006, , , Certain conditions originating in the perinatal period, 698 
2006, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 653 
2006, , , Aortic aneurysm and dissection, 525 
2006, , , Congenital malformations, deformations and chromosomal abnormalities, 451 
2006, , , Human immunodeficiency virus (HIV) disease, 383 
2006, , , Atherosclerosis, 369 
2006, , , All causes, 174 
2006, , , Accidents, 57 
2006, , , Motor vehicle accidents, 15 
2006, , , All other accidents, 42 
2006, , , Congenital malformations, deformations and chromosomal abnormalities, 20 
2006, , , Malignant neoplasms, 15 
2006, , , Assault (homicide), 13 
2006, , , All causes, 219 
2006, , , Accidents, 69 
2006, , , Motor vehicle accidents, 34 
2006, , , All other accidents, 35 
2006, , , Malignant neoplasms, 38 
2006, , , Assault (homicide), 22 
2006, , , Congenital malformations, deformations and chromosomal abnormalities, 17 
2006, , , All causes, 1321 
2006, , , Accidents, 538 
2006, , , Motor vehicle accidents, 330 
2006, , , All other accidents, 208 
2006, , , Assault (homicide), 302 
2006, , , Intentional self-harm (suicide), 131 
2006, , , Malignant neoplasms, 68 
2006, , , Diseases of heart, 56 
2006, , , All causes, 4851 
2006, , , Accidents, 1246 
2006, , , Motor vehicle accidents, 425 
2006, , , All other accidents, 821 
2006, , , Malignant neoplasms, 739 
2006, , , Diseases of heart, 677 
2006, , , Intentional self-harm (suicide), 370 
2006, , , Assault (homicide), 366 
2006, , , Human immunodeficiency virus (HIV) disease, 157 
2006, , , Chronic liver disease and cirrhosis, 122 
2006, , , Diabetes mellitus, 112 
2006, , , Cerebrovascular diseases, 89 
2006, , , Septicemia, 64 
2006, , , Chronic lower respiratory diseases, 63 
2006, , , Influenza and pneumonia, 59 
2006, , , Nephritis, nephrotic syndrome and nephrosis, 47 
2006, , , Congenital malformations, deformations and chromosomal abnormalities, 36 
2006, , , All causes, 18756 
2006, , , Malignant neoplasms, 6460 
2006, , , Diseases of heart, 4455 
2006, , , Accidents, 1146 
2006, , , Motor vehicle accidents, 357 
2006, , , All other accidents, 789 
2006, , , Cerebrovascular diseases, 650 
2006, , , Diabetes mellitus, 624 
2006, , , Chronic lower respiratory diseases, 603 
2006, , , Chronic liver disease and cirrhosis, 559 
2006, , , Septicemia, 384 
2006, , , Intentional self-harm (suicide), 365 
2006, , , Nephritis, nephrotic syndrome and nephrosis, 325 
2006, , , Influenza and pneumonia, 238 
2006, , , Human immunodeficiency virus (HIV) disease, 199 
2006, , , Essential hypertension and hypertensive renal disease, 123 
2006, , , Assault (homicide), 108 
2006, , , All causes, 75458 
2006, , , Diseases of heart, 21792 
2006, , , Malignant neoplasms, 16730 
2006, , , Cerebrovascular diseases, 5213 
2006, , , Chronic lower respiratory diseases, 4040 
2006, , , Alzheimer's disease, 2758 
2006, , , Influenza and pneumonia, 2345 
2006, , , Nephritis, nephrotic syndrome and nephrosis, 2115 
2006, , , Diabetes mellitus, 2052 
2006, , , Septicemia, 1526 
2006, , , Accidents, 1281 
2006, , , Motor vehicle accidents, 219 
2006, , , All other accidents, 1062 
2006, , , Parkinsons's disease, 838 
2006, , , Pneumonitis due to solids and liquids, 825 
2007, , , All causes, 100254 
2007, , , Diseases of heart, 25766 
2007, , , Malignant neoplasms, 24084 
2007, , , Cerebrovascular diseases, 5851 
2007, , , Chronic lower respiratory diseases, 4731 
2007, , , Accidents, 4319 
2007, , ,       Motor vehicle accidents, 1352 
2007, , ,       All other accidents, 2967 
2007, , , Diabetes mellitus, 2850 
2007, , , Alzheimer's disease, 2729 
2007, , , Influenza and pneumonia, 2549 
2007, , , Nephritis, nephrotic syndrome and nephrosis, 2532 
2007, , , Septicemia, 2099 
2007, , , Intentional self-harm (suicide), 1102 
2007, , , Chronic liver disease and cirrhosis, 1029 
2007, , , Essential hypertension and hypertensive renal disease, 855 
2007, , , Assault (homicide), 854 
2007, , , Pneumonitis due to solids and liquids, 821 
2007, , , Parkinsons's disease, 817 
2007, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 679 
2007, , , Certain conditions originating in the perinatal period, 670 
2007, , , Aortic aneurysm and dissection, 576 
2007, , , Congenital malformations, deformations and chromosomal abnormalities, 402 
2007, , , Atherosclerosis, 306 
2007, , , Human immunodeficiency virus (HIV) disease, 298 
2007, , , Anemias, 249 
2007, , , All causes, 186 
2007, , , Accidents, 54 
2007, , ,       Motor vehicle accidents, 16 
2007, , ,       All other accidents, 38 
2007, , , Congenital malformations, deformations and chromosomal abnormalities, 26 
2007, , , Assault (homicide), 17 
2007, , , Malignant neoplasms, 14 
2007, , , All causes, 266 
2007, , , Accidents, 93 
2007, , ,       Motor vehicle accidents, 49 
2007, , ,       All other accidents, 44 
2007, , , Malignant neoplasms, 31 
2007, , , Assault (homicide), 29 
2007, , , Congenital malformations, deformations and chromosomal abnormalities, 18 
2007, , , All causes, 1348 
2007, , , Accidents, 549 
2007, , ,       Motor vehicle accidents, 350 
2007, , ,       All other accidents, 199 
2007, , , Assault (homicide), 305 
2007, , , Intentional self-harm (suicide), 162 
2007, , , Malignant neoplasms, 58 
2007, , , Diseases of heart, 43 
2007, , , All causes, 4604 
2007, , , Accidents, 1097 
2007, , ,       Motor vehicle accidents, 400 
2007, , ,       All other accidents, 697 
2007, , , Malignant neoplasms, 693 
2007, , , Diseases of heart, 689 
2007, , , Intentional self-harm (suicide), 383 
2007, , , Assault (homicide), 342 
2007, , , Chronic liver disease and cirrhosis, 127 
2007, , , Human immunodeficiency virus (HIV) disease, 118 
2007, , , Cerebrovascular diseases, 95 
2007, , , Diabetes mellitus, 93 
2007, , , Septicemia, 70 
2007, , , Influenza and pneumonia, 60 
2007, , , Chronic lower respiratory diseases, 47 
2007, , , Nephritis, nephrotic syndrome and nephrosis, 43 
2007, , , Congenital malformations, deformations and chromosomal abnormalities, 41 
2007, , , All causes, 18814 
2007, , , Malignant neoplasms, 6461 
2007, , , Diseases of heart, 4449 
2007, , , Accidents, 1075 
2007, , ,       Motor vehicle accidents, 318 
2007, , ,       All other accidents, 757 
2007, , , Cerebrovascular diseases, 674 
2007, , , Diabetes mellitus, 652 
2007, , , Chronic lower respiratory diseases, 585 
2007, , , Chronic liver disease and cirrhosis, 527 
2007, , , Septicemia, 402 
2007, , , Intentional self-harm (suicide), 384 
2007, , , Nephritis, nephrotic syndrome and nephrosis, 350 
2007, , , Influenza and pneumonia, 247 
2007, , , Human immunodeficiency virus (HIV) disease, 162 
2007, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 107 
2007, , , Viral hepatitis, 106 
2007, , , All causes, 73840 
2007, , , Diseases of heart, 20547 
2007, , , Malignant neoplasms, 16824 
2007, , , Cerebrovascular diseases, 5068 
2007, , , Chronic lower respiratory diseases, 4082 
2007, , , Alzheimer's disease, 2687 
2007, , , Influenza and pneumonia, 2208 
2007, , , Nephritis, nephrotic syndrome and nephrosis, 2124 
2007, , , Diabetes mellitus, 2096 
2007, , , Septicemia, 1596 
2007, , , Accidents, 1401 
2007, , ,       Motor vehicle accidents, 215 
2007, , ,       All other accidents, 1186 
2007, , , Parkinsons's disease, 797 
2008, , , All causes, 103069 
2008, , , Diseases of heart, 25979 
2008, , , Malignant neoplasms, 24210 
2008, , , Cerebrovascular diseases, 5765 
2008, , , Chronic lower respiratory diseases, 5584 
2008, , , Accidents, 4173 
2008, , ,       Motor vehicle accidents, 1138 
2008, , ,       All other accidents, 3035 
2008, , , Alzheimer's disease, 3188 
2008, , , Diabetes mellitus, 2839 
2008, , , Influenza and pneumonia, 2663 
2008, , , Nephritis, nephrotic syndrome and nephrosis, 2571 
2008, , , Septicemia, 1956 
2008, , , Intentional self-harm (suicide), 1188 
2008, , , Chronic liver disease and cirrhosis, 1144 
2008, , , Essential hypertension and hypertensive renal disease, 929 
2008, , , Parkinsons's disease, 882 
2008, , , Assault (homicide), 867 
2008, , , Pneumonitis due to solids and liquids, 840 
2008, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 657 
2008, , , Certain conditions originating in the perinatal period, 654 
2008, , , Aortic aneurysm and dissection, 488 
2008, , , Congenital malformations, deformations and chromosomal abnormalities, 391 
2008, , , Human immunodeficiency virus (HIV) disease, 333 
2008, , , Atherosclerosis, 314 
2008, , , Anemias, 270 
2008, , , All causes, 173 
2008, , , Accidents, 44 
2008, , ,       Motor vehicle accidents, 9 
2008, , ,       All other accidents, 35 
2008, , , Congenital malformations, deformations and chromosomal abnormalities, 23 
2008, , , Diseases of heart, 15 
2008, , , Malignant neoplasms, 12 
2008, , , Assault (homicide), 12 
2008, , , All causes, 228 
2008, , , Accidents, 64 
2008, , ,       Motor vehicle accidents, 36 
2008, , ,       All other accidents, 28 
2008, , , Malignant neoplasms, 30 
2008, , , Assault (homicide), 19 
2008, , , Diseases of heart, 14 
2008, , , Congenital malformations, deformations and chromosomal abnormalities, 11 
2008, , , Intentional self-harm (suicide), 10 
2008, , , All causes, 1290 
2008, , , Accidents, 470 
2008, , ,       Motor vehicle accidents, 262 
2008, , ,       All other accidents, 208 
2008, , , Assault (homicide), 340 
2008, , , Intentional self-harm (suicide), 133 
2008, , , Malignant neoplasms, 65 
2008, , , Diseases of heart, 41 
2008, , , All causes, 4584 
2008, , , Accidents, 1121 
2008, , ,       Motor vehicle accidents, 357 
2008, , ,       All other accidents, 764 
2008, , , Malignant neoplasms, 663 
2008, , , Diseases of heart, 644 
2008, , , Intentional self-harm (suicide), 411 
2008, , , Assault (homicide), 338 
2008, , , Chronic liver disease and cirrhosis, 136 
2008, , , Human immunodeficiency virus (HIV) disease, 115 
2008, , , Cerebrovascular diseases, 100 
2008, , , Diabetes mellitus, 82 
2008, , , Septicemia, 71 
2008, , , Chronic lower respiratory diseases, 61 
2008, , , Influenza and pneumonia, 59 
2008, , , Nephritis, nephrotic syndrome and nephrosis, 42 
2008, , , Congenital malformations, deformations and chromosomal abnormalities, 24 
2008, , , All causes, 19379 
2008, , , Malignant neoplasms, 6601 
2008, , , Diseases of heart, 4566 
2008, , , Accidents, 1029 
2008, , ,       Motor vehicle accidents, 272 
2008, , ,       All other accidents, 757 
2008, , , Cerebrovascular diseases, 692 
2008, , , Chronic lower respiratory diseases, 654 
2008, , , Diabetes mellitus, 630 
2008, , , Chronic liver disease and cirrhosis, 614 
2008, , , Intentional self-harm (suicide), 449 
2008, , , Septicemia, 395 
2008, , , Nephritis, nephrotic syndrome and nephrosis, 353 
2008, , , Influenza and pneumonia, 259 
2008, , , Human immunodeficiency virus (HIV) disease, 190 
2008, , , Essential hypertension and hypertensive renal disease, 124 
2008, , , Assault (homicide), 106 
2008, , , Viral hepatitis, 104 
2008, , , All causes, 76152 
2008, , , Diseases of heart, 20675 
2008, , , Malignant neoplasms, 16834 
2008, , , Cerebrovascular diseases, 4952 
2008, , , Chronic lower respiratory diseases, 4844 
2008, , , Alzheimer's disease, 3161 
2008, , , Influenza and pneumonia, 2312 
2008, , , Nephritis, nephrotic syndrome and nephrosis, 2164 
2008, , , Diabetes mellitus, 2113 
2008, , , Septicemia, 1456 
2008, , , Accidents, 1375 
2008, , ,       Motor vehicle accidents, 196 
2008, , ,       All other accidents, 1179 
2008, , , Parkinsons's disease, 870 
2008, , , Essential hypertension and hypertensive renal disease, 790 
2008, , , Pneumonitis due to solids and liquids, 766 
2009, , , All causes, 99896 
2009, , , Diseases of heart, 24891 
2009, , , Malignant neoplasms, 24159 
2009, , , Chronic lower respiratory diseases, 5298 
2009, , , Cerebrovascular diseases, 5243 
2009, , , Accidents, 3958 
2009, , , Motor vehicle accidents, 1050 
2009, , , All other accidents, 2908 
2009, , , Alzheimer's disease, 2896 
2009, , , Diabetes mellitus, 2740 
2009, , , Nephritis, nephrotic syndrome and nephrosis, 2688 
2009, , , Influenza and pneumonia, 2412 
2009, , , Septicemia, 1993 
2009, , , Intentional self-harm (suicide), 1166 
2009, , , Chronic liver disease and cirrhosis, 1111 
2009, , , Essential hypertension and hypertensive renal disease, 893 
2009, , , Parkinsons's disease, 882 
2009, , , Assault (homicide), 882 
2009, , , Pneumonitis due to solids and liquids, 774 
2009, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 693 
2009, , , Certain conditions originating in the perinatal period, 648 
2009, , , Aortic aneurysm and dissection, 437 
2009, , , Congenital malformations, deformations and chromosomal abnormalities, 410 
2009, , , Enterocolitis due to Clostridium difficile, 354 
2009, , , Anemias, 269 
2009, , , Human immunodeficiency virus (HIV) disease, 251 
2009, , , All causes, 187 
2009, , , Accidents, 48 
2009, , , Motor vehicle accidents, 18 
2009, , , All other accidents, 30 
2009, , , Congenital malformations, deformations and chromosomal abnormalities, 27 
2009, , , Assault (homicide), 21 
2009, , , Malignant neoplasms, 18 
2009, , , All causes, 222 
2009, , , Malignant neoplasms, 42 
2009, , , Accidents, 36 
2009, , , Motor vehicle accidents, 20 
2009, , , All other accidents, 16 
2009, , , Congenital malformations, deformations and chromosomal abnormalities, 23 
2009, , , Assault (homicide), 21 
2009, , , Intentional self-harm (suicide), 11 
2009, , , Diseases of heart, 10 
2009, , , Influenza and pneumonia, 10 
2009, , , All causes, 1259 
2009, , , Accidents, 419 
2009, , , Motor vehicle accidents, 225 
2009, , , All other accidents, 194 
2009, , , Assault (homicide), 344 
2009, , , Intentional self-harm (suicide), 138 
2009, , , Malignant neoplasms, 81 
2009, , , Diseases of heart, 56 
2009, , , All causes, 4467 
2009, , , Accidents, 1073 
2009, , , Motor vehicle accidents, 343 
2009, , , All other accidents, 730 
2009, , , Malignant neoplasms, 661 
2009, , , Diseases of heart, 618 
2009, , , Intentional self-harm (suicide), 400 
2009, , , Assault (homicide), 335 
2009, , , Chronic liver disease and cirrhosis, 132 
2009, , , Cerebrovascular diseases, 86 
2009, , , Diabetes mellitus, 85 
2009, , , Human immunodeficiency virus (HIV) disease, 83 
2009, , , Septicemia, 78 
2009, , , Influenza and pneumonia, 72 
2009, , , Chronic lower respiratory diseases, 63 
2009, , , Nephritis, nephrotic syndrome and nephrosis, 53 
2009, , , Congenital malformations, deformations and chromosomal abnormalities, 35 
2009, , , All causes, 19320 
2009, , , Malignant neoplasms, 6621 
2009, , , Diseases of heart, 4537 
2009, , , Accidents, 1046 
2009, , , Motor vehicle accidents, 250 
2009, , , All other accidents, 796 
2009, , , Diabetes mellitus, 667 
2009, , , Chronic lower respiratory diseases, 666 
2009, , , Cerebrovascular diseases, 622 
2009, , , Chronic liver disease and cirrhosis, 606 
2009, , , Intentional self-harm (suicide), 432 
2009, , , Septicemia, 362 
2009, , , Nephritis, nephrotic syndrome and nephrosis, 347 
2009, , , Influenza and pneumonia, 285 
2009, , , Human immunodeficiency virus (HIV) disease, 145 
2009, , , Essential hypertension and hypertensive renal disease, 125 
2009, , , Assault (homicide), 109 
2009, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 107 
2009, , , All causes, 73265 
2009, , , Diseases of heart, 19646 
2009, , , Malignant neoplasms, 16733 
2009, , , Chronic lower respiratory diseases, 4545 
2009, , , Cerebrovascular diseases, 4517 
2009, , , Alzheimer's disease, 2855 
2009, , , Nephritis, nephrotic syndrome and nephrosis, 2279 
2009, , , Influenza and pneumonia, 2005 
2009, , , Diabetes mellitus, 1982 
2009, , , Septicemia, 1529 
2009, , , Accidents, 1286 
2009, , , Motor vehicle accidents, 193 
2009, , , All other accidents, 1093 
2009, , , Parkinsons's disease, 859 
2009, , , Essential hypertension and hypertensive renal disease, 751 
2009, , , Pneumonitis due to solids and liquids, 700 
2009, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 547 
2009, , , Chronic liver disease and cirrhosis, 371 
2010, , , All causes, 99624 
2010, , , Diseases of heart, 24868 
2010, , , Malignant neoplasms, 24016 
2010, , , Cerebrovascular diseases, 5333 
2010, , , Chronic lower respiratory diseases, 5219 
2010, , , Accidents, 3961 
2010, , , Motor vehicle accidents, 1017 
2010, , , All other accidents, 2944 
2010, , , Alzheimer's disease, 2915 
2010, , , Nephritis, nephrotic syndrome and nephrosis, 2607 
2010, , , Diabetes mellitus, 2499 
2010, , , Influenza and pneumonia, 2205 
2010, , , Septicemia, 1858 
2010, , , Intentional self-harm (suicide), 1169 
2010, , , Chronic liver disease and cirrhosis, 1119 
2010, , , Parkinsons's disease, 907 
2010, , , Essential hypertension and hypertensive renal disease, 870 
2010, , , Pneumonitis due to solids and liquids, 827 
2010, , , Assault (homicide), 779 
2010, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 668 
2010, , , Certain conditions originating in the perinatal period, 612 
2010, , , Aortic aneurysm and dissection, 440 
2010, , , Enterocolitis due to Clostridium difficile, 356 
2010, , , Congenital malformations, deformations and chromosomal abnormalities, 344 
2010, , , Human immunodeficiency virus (HIV) disease, 301 
2010, , , Atherosclerosis, 247 
2010, , , All causes, 176 
2010, , , Accidents, 37 
2010, , , Motor vehicle accidents, 8 
2010, , , All other accidents, 29 
2010, , , Congenital malformations, deformations and chromosomal abnormalities, 22 
2010, , , Assault (homicide), 16 
2010, , , Malignant neoplasms, 13 
2010, , , All causes, 224 
2010, , , Accidents, 57 
2010, , , Motor vehicle accidents, 26 
2010, , , All other accidents, 31 
2010, , , Malignant neoplasms, 42 
2010, , , Assault (homicide), 15 
2010, , , Diseases of heart, 13 
2010, , , Congenital malformations, deformations and chromosomal abnormalities, 12 
2010, , , Chronic lower respiratory diseases, 10 
2010, , , All causes, 1191 
2010, , , Accidents, 447 
2010, , , Motor vehicle accidents, 226 
2010, , , All other accidents, 221 
2010, , , Assault (homicide), 282 
2010, , , Intentional self-harm (suicide), 142 
2010, , , Malignant neoplasms, 68 
2010, , , Diseases of heart, 50 
2010, , , All causes, 4266 
2010, , , Accidents, 1005 
2010, , , Motor vehicle accidents, 300 
2010, , , All other accidents, 705 
2010, , , Malignant neoplasms, 628 
2010, , , Diseases of heart, 611 
2010, , , Intentional self-harm (suicide), 385 
2010, , , Assault (homicide), 327 
2010, , , Chronic liver disease and cirrhosis, 115 
2010, , , Diabetes mellitus, 106 
2010, , , Cerebrovascular diseases, 100 
2010, , , Human immunodeficiency virus (HIV) disease, 99 
2010, , , Chronic lower respiratory diseases, 64 
2010, , , Influenza and pneumonia, 48 
2010, , , Nephritis, nephrotic syndrome and nephrosis, 43 
2010, , , Septicemia, 43 
2010, , , All causes, 19068 
2010, , , Malignant neoplasms, 6590 
2010, , , Diseases of heart, 4507 
2010, , , Accidents, 1008 
2010, , , Motor vehicle accidents, 282 
2010, , , All other accidents, 726 
2010, , , Chronic lower respiratory diseases, 680 
2010, , , Diabetes mellitus, 628 
2010, , , Cerebrovascular diseases, 618 
2010, , , Chronic liver disease and cirrhosis, 591 
2010, , , Intentional self-harm (suicide), 463 
2010, , , Nephritis, nephrotic syndrome and nephrosis, 351 
2010, , , Septicemia, 329 
2010, , , Influenza and pneumonia, 229 
2010, , , Human immunodeficiency virus (HIV) disease, 171 
2010, , , Essential hypertension and hypertensive renal disease, 96 
2010, , , Viral hepatitis, 95 
2010, , , Assault (homicide), 93 
2010, , , All causes, 41263 
2010, , , Malignant neoplasms, 12504 
2010, , , Diseases of heart, 9818 
2010, , , Chronic lower respiratory diseases, 2971 
2010, , , Cerebrovascular diseases, 2217 
2010, , , Nephritis, nephrotic syndrome and nephrosis, 1233 
2010, , , Diabetes mellitus, 1139 
2010, , , Septicemia, 887 
2010, , , Alzheimer's disease, 883 
2010, , , Influenza and pneumonia, 839 
2010, , , Accidents, 760 
2010, , , Motor vehicle accidents, 134 
2010, , , All other accidents, 626 
2010, , , Parkinsons's disease, 490 
2010, , , Chronic liver disease and cirrhosis, 356 
2010, , , In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior, 322 
2010, , , Essential hypertension and hypertensive renal disease, 318 
2010, , , Pneumonitis due to solids and liquids, 293 
2010, , , Aortic aneurysm and dissection, 216 
2010, , , Enterocolitis due to Clostridium difficile, 161 
2010, , , Intentional self-harm (suicide), 140 
2010, , , All causes, 32320 
2010, , , Diseases of heart, 9848 
2010, , , Malignant neoplasms, 4167 
2010, , , Cerebrovascular diseases, 2375 
2010, , , Alzheimer's disease, 1996 
2010, , , Chronic lower respiratory diseases, 1483 
2010, , , Influenza and pneumonia, 1066 
